player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points
289,116643,2023/24,60,59,677,1,1,1,18,0,0,1,1,1,0,0,0,0,0,0,79,0,0,0,0,25
289,116643,2024/25,60,59,2866,2,2,10,31,0,0,1,8,0,0,0,0,1,0,0,288,0,0,0,0,106
289,116643,2025/26,65,65,2641,1,3,8,41,0,0,0,5,2,0,13,1,0,39,1563,242,15,5,1,2014,143
