player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points
411,511119,2023/24,45,44,330,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,8
411,511119,2024/25,45,44,258,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,12
411,511119,2025/26,45,44,685,0,0,2,11,0,0,0,3,0,0,0,0,0,22,305,63,0,1,0,659,35
