player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points
154,633750,2023/24,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,633750,2024/25,40,38,328,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8
154,633750,2025/26,40,39,273,0,0,0,10,0,0,0,2,1,0,0,0,0,2,88,20,1,0,0,297,3
