team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,6770,Al Ahli,AHL,,,,,,,
2,6772,Al Fateh,FAT,,,,,,,
3,10483,Al Fayha,FYH,,,,,,,
4,1317,Al Hilal,HIL,,,,,,,
5,5680,Al Ettifaq,ETT,,,,,,,
6,1316,Al Ittihad,ITT,,,,,,,
7,1364,Al Khaleej,KLJ,,,,,,,
8,6780,Al Nassr,NAS,,,,,,,
9,9622,Al Riyadh,RIY,,,,,,,
10,6774,Al Shabab,SHB,,,,,,,
11,6778,Al Taawoun,TWN,,,,,,,
12,6775,Al Qadsiah,QAD,,,,,,,
13,15213,Al Kholood,KLD,,,,,,,
14,15209,NEOM SC,NEO,,,,,,,
15,6846,Al Hazem,HAZ,,,,,,,
16,9619,Abha,ABH,,,,,,,
17,6777,Al Faisaly,FSL,,,,,,,
18,9621,Diriyah Club,DIR,,,,,,,
