type,gw,position,player_id,opta_id,name,player_position,points,is_top_player
gw,1,1,438,425632,Mailson,GK,14,False
gw,1,2,360,564914,Salem Al Najdi,DEF,11,False
gw,1,3,465,88477,Nacho,DEF,11,False
gw,1,4,83,439128,Merih Demiral,DEF,11,False
gw,1,5,200,171317,Rúben Neves,MID,20,False
gw,1,6,332,518620,Ângelo,MID,15,False
gw,1,7,77,515117,Eduard Spertsyan,MID,15,False
gw,1,8,571,547059,Ahmed Al Shamrani,MID,14,False
gw,1,9,554,172841,Said Benrahma,MID,14,False
gw,1,10,240,122399,Moussa Dembele,FWD,21,True
gw,1,11,649,564807,Julien Domingues,FWD,12,False
gw,2,1,282,104407,Predrag Rajkovic,GK,16,False
gw,2,2,229,194203,Jack Hendry,DEF,19,False
gw,2,3,338,423618,Abdulelah Al Amri,DEF,17,False
gw,2,4,181,86129,Kalidou Koulibaly,DEF,15,False
gw,2,5,517,445216,Edgaras Utkus,DEF,14,False
gw,2,6,332,518620,Ângelo,MID,14,False
gw,2,7,207,180793,Sergej Savić,MID,14,False
gw,2,8,75,222564,Trincão,MID,13,False
gw,2,9,74,144485,Ivan Toney,FWD,23,True
gw,2,10,553,59966,Alexandre Lacazette,FWD,16,False
gw,2,11,454,149859,Abderrazzaq Hamdallah,FWD,15,False
gw,3,1,161,428758,Orlando Mosquera,GK,13,False
gw,3,2,458,423617,Awn Al Saluli,DEF,11,False
gw,3,3,466,501039,Gastón Álvarez,DEF,11,False
gw,3,4,338,423618,Abdulelah Al Amri,DEF,10,False
gw,3,5,291,194252,Steven Bergwijn,MID,23,True
gw,3,6,431,119718,Yannick Carrasco,MID,16,False
gw,3,7,329,110979,Sadio Mane,MID,14,False
gw,3,8,658,433036,Tijjani Reijnders,MID,13,False
gw,3,9,244,139110,Ondrej Duda,MID,12,False
gw,3,10,395,510595,Leandro Antunes,FWD,10,False
gw,3,11,294,78007,Joshua King,FWD,10,False
season,,1,438,425632,Mailson,GK,31,True
season,,2,338,423618,Abdulelah Al Amri,DEF,27,False
season,,3,229,194203,Jack Hendry,DEF,26,False
season,,4,465,88477,Nacho,DEF,26,False
season,,5,332,518620,Ângelo,MID,30,False
season,,6,291,194252,Steven Bergwijn,MID,29,False
season,,7,328,428399,João Félix,MID,29,False
season,,8,329,110979,Sadio Mane,MID,28,False
season,,9,224,165796,Álvaro Medrán,MID,26,False
season,,10,74,144485,Ivan Toney,FWD,26,False
season,,11,553,59966,Alexandre Lacazette,FWD,24,False
