player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points,now_cost,selected_by_percent
74,144485,Ivan,Toney,Toney,,1,6770,Al Ahli,AHL,4,FWD,a,,155,3,0,2,0,0,0,0,0,0,0,3,1,1,0,18,4,6,1,1,169,26,120,40.4
75,222564,Francisco,Trincao,Trincao,Trincão,1,6770,Al Ahli,AHL,3,MID,a,,179,1,1,2,0,0,0,0,0,0,0,2,0,0,2,48,10,2,1,0,165,16,80,9.7
76,243157,Wenderson,Rodrigues do Nascimento Galeno,Galeno,Galeno,1,6770,Al Ahli,AHL,3,MID,a,,121,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,11,1,0,1,144,8,75,9.6
77,515117,Eduard,Spertsyan,Spertsyan,,1,6770,Al Ahli,AHL,3,MID,a,,154,1,1,2,0,0,0,0,1,0,0,3,1,1,0,53,13,1,4,0,178,22,71,27.1
78,430788,Roger,Ibañez,Ibañez,Roger Ibañez,1,6770,Al Ahli,AHL,2,DEF,a,,180,0,0,2,0,0,0,0,0,0,0,0,0,0,2,107,27,1,0,1,135,18,65,35.1
80,250793,Feras,Al Buraikan,Feras,Feras Al Brikan,1,6770,Al Ahli,AHL,4,FWD,a,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,0,3,60,3.6
81,228286,Édouard,Mendy,Mendy,,1,6770,Al Ahli,AHL,1,GK,a,,90,0,0,1,0,0,0,0,0,0,3,1,0,0,0,30,7,0,0,0,92,9,55,11.1
82,566447,Matheus,Gonçalves,Matheus,Matheus Gonçalves,1,6770,Al Ahli,AHL,3,MID,a,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,1,54,0.6
83,439128,Merih,Demiral,Demiral,,1,6770,Al Ahli,AHL,2,DEF,a,,180,0,0,2,0,0,0,0,0,0,0,1,0,0,2,96,24,0,0,1,150,19,56,38.8
84,538001,Saleh,Abu Al Shamat,S. Al Shamat,Saleh Abu Al Shamat,1,6770,Al Ahli,AHL,3,MID,a,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,0,1,0,2,55,0.7
85,574464,Valentin,Atangana Edoa,Atangana,,1,6770,Al Ahli,AHL,3,MID,a,,173,0,0,2,0,0,0,0,1,0,0,0,0,0,2,46,15,2,0,0,155,7,55,1.6
86,604259,Naif,Masoud,Naif,Naif Masoud,1,6770,Al Ahli,AHL,3,MID,a,,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,1,50,0.1
87,591447,Zakaria,Hawsawi,Z. Hawsawi,Zakaria Hawsawi,1,6770,Al Ahli,AHL,2,DEF,a,,135,0,0,1,0,0,0,0,1,0,0,0,0,0,4,38,12,0,0,0,117,7,50,5.9
88,511120,Ziad,Al Johani,Al Johani,Ziyad Al Johani,1,6770,Al Ahli,AHL,3,MID,a,,171,0,0,2,0,0,0,0,1,0,0,0,0,0,1,55,12,0,0,0,138,7,50,0.3
89,514614,Saad,Belobaid,Belobaid,Saad Yaslam,1,6770,Al Ahli,AHL,2,DEF,a,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,4,0,0,0,0,1,50,2.0
