gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points,played,in_dreamteam
1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,True,False
1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,74,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,69,3,True,False
1,75,89,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,5,1,0,0,70,3,True,False
1,76,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,54,1,True,False
1,77,89,1,0,1,0,0,0,0,0,0,0,3,1,1,0,28,6,1,2,0,91,15,True,True
1,78,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,13,1,0,1,72,9,True,False
1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,2,True,False
1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,1,True,False
1,83,90,0,0,1,0,0,0,0,0,0,0,1,0,0,1,44,18,0,0,1,81,11,True,True
1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,True,False
1,85,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,17,8,1,0,0,79,3,True,False
1,86,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,True,False
1,87,90,0,0,1,0,0,0,0,1,0,0,0,0,0,2,21,10,0,0,0,67,6,True,False
1,88,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,64,3,True,False
1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,90,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,1,True,False
1,91,90,0,0,1,0,0,0,0,0,0,3,2,0,0,0,26,7,0,0,0,88,10,True,False
1,92,14,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,True,False
1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,94,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1,True,False
1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False
1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,101,89,0,0,1,0,0,0,0,1,0,0,0,0,0,2,11,7,0,0,0,54,6,True,False
1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,True,False
1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,124,80,0,0,0,3,0,0,0,0,0,0,0,0,0,1,21,8,0,0,0,19,2,True,False
1,125,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,True,False
1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,True,False
1,129,45,0,0,0,2,0,0,0,1,0,0,0,0,0,2,9,3,0,0,1,42,0,True,False
1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,135,90,0,0,0,3,0,0,0,0,0,0,0,0,0,2,33,10,0,0,0,24,2,True,False
1,136,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,28,6,0,0,0,19,2,True,False
