team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,6770,Al Ahli,AHL,,,,,,,
2,15207,Al Okhdood,OKH,,,,,,,
3,6772,Al Fateh,FAT,,,,,,,
4,10483,Al Fayha,FAY,,,,,,,
5,1317,Al Hilal,HIL,,,,,,,
6,5680,Al Ettifaq,ETF,,,,,,,
7,1316,Al Ittihad,ITH,,,,,,,
8,1364,Al Khaleej,KHA,,,,,,,
9,6780,Al Nassr,NSR,,,,,,,
10,9622,Al Riyadh,RIY,,,,,,,
11,6774,Al Shabab,SHA,,,,,,,
12,6778,Al Taawoun,TAA,,,,,,,
13,11087,Damac,DAM,,,,,,,
14,6775,Al Qadsiah,QAD,,,,,,,
15,15213,Al Kholood,KHL,,,,,,,
16,15209,NEOM S.C.,NEO,,,,,,,
17,6846,Al Hazem,HAZ,,,,,,,
18,20546,Al Najmah,NAJ,,,,,,,
